Daily Outage Report

"Generation outage records received as of:"," Monday, September 21 2026 10:28:00 AM"
"Last Updated:"," Monday, September 21 2026 10:32:30 AM"

"       ","   Generation   ","       "
"   Date   ","   SC   ","   Cogen   ","   CC   ","   GFS   ","   Hydro   ","   Wind   ","   Solar   ","   Energy Storage   ","   Biomass and Other   ","   MBO   ","   Load   "
"01-Sep-2026","244","2148","865","210","81","265","99","90","264","801","0"
"02-Sep-2026","284","2235","874","493","80","278","73","90","256","801","0"
"03-Sep-2026","287","2133","815","476","81","293","63","111","218","801","0"
"04-Sep-2026","209","2044","807","498","81","238","55","90","219","801","0"
"05-Sep-2026","206","1968","650","551","84","166","48","90","233","801","0"
"06-Sep-2026","208","1999","408","551","90","165","57","91","256","801","0"
"07-Sep-2026","290","2073","407","551","95","161","69","90","258","801","0"
"08-Sep-2026","386","2190","416","551","102","209","72","93","289","801","0"
"09-Sep-2026","379","2315","471","498","206","273","74","94","291","801","0"
"10-Sep-2026","390","2348","476","629","170","229","63","117","279","801","0"
"11-Sep-2026","331","2276","424","476","126","231","57","103","281","801","0"
"12-Sep-2026","297","2219","433","479","110","215","83","90","270","801","0"
"13-Sep-2026","318","2382","379","476","94","210","93","93","268","801","15"
"14-Sep-2026","334","2513","390","476","134","242","102","90","261","801","60"
"15-Sep-2026","376","2315","702","479","232","251","100","104","268","801","60"
"16-Sep-2026","388","2235","600","476","257","355","74","110","276","801","60"
"17-Sep-2026","379","2183","607","477","252","362","66","100","302","801","60"
"18-Sep-2026","331","2219","552","476","115","290","62","50","302","801","18"
"19-Sep-2026","287","2247","424","476","90","203","50","10","302","801","0"
"20-Sep-2026","297","2400","437","476","87","218","64","48","298","801","0"
"21-Sep-2026","284","2273","433","476","83","223","60","10","278","801","0"
"22-Sep-2026","281","2287","367","487","91","92","26","10","295","801","0"
"23-Sep-2026","257","2359","369","487","94","78","26","10","294","801","0"
"24-Sep-2026","252","2247","332","476","103","78","26","10","287","801","0"
"25-Sep-2026","234","2135","335","476","92","69","26","10","287","801","0"
"26-Sep-2026","159","2109","288","476","81","60","15","10","273","801","0"
"27-Sep-2026","146","2055","309","476","110","60","15","10","273","801","0"
"28-Sep-2026","124","2068","613","476","61","61","24","10","283","801","0"
"29-Sep-2026","107","1309","644","476","32","61","23","10","251","801","55"
"30-Sep-2026","63","1283","603","474","37","59","23","10","251","801","0"
"01-Oct-2026","49","1230","551","466","30","53","75","10","253","801","0"
"02-Oct-2026","83","1132","451","466","22","53","96","10","253","801","0"
"03-Oct-2026","97","1132","251","466","10","50","75","10","239","801","0"
"04-Oct-2026","105","1197","251","466","10","50","15","10","239","801","0"
"05-Oct-2026","97","1290","251","466","140","53","15","10","239","801","0"
"06-Oct-2026","113","1500","801","466","215","87","15","10","239","801","0"
"07-Oct-2026","113","1503","867","466","220","71","15","10","253","801","0"
"08-Oct-2026","121","1502","830","466","215","67","15","10","253","801","0"
"09-Oct-2026","141","1491","314","466","203","53","15","10","239","801","0"
"10-Oct-2026","123","1491","211","466","200","50","15","10","239","801","0"
"11-Oct-2026","95","1395","211","466","200","50","15","10","239","801","0"
"12-Oct-2026","95","1396","255","466","200","53","15","10","242","801","0"
"13-Oct-2026","93","1271","256","466","200","53","15","10","244","801","0"
"14-Oct-2026","89","1150","275","466","234","53","15","10","244","801","0"
"15-Oct-2026","92","1150","264","466","219","53","46","10","245","801","0"
"16-Oct-2026","92","1329","211","466","214","53","15","10","244","801","0"
"17-Oct-2026","89","1378","211","466","214","50","15","10","244","801","0"
"18-Oct-2026","89","1229","211","466","214","50","15","10","244","801","0"
"19-Oct-2026","89","1295","211","466","214","53","109","10","223","801","0"
"20-Oct-2026","75","1339","211","466","214","53","164","10","177","801","0"
"21-Oct-2026","75","1345","211","369","219","53","156","10","175","801","0"
"22-Oct-2026","75","1326","211","0","214","53","148","10","191","801","0"
"23-Oct-2026","75","1094","211","0","214","53","148","10","192","801","0"
"24-Oct-2026","75","850","211","39","214","50","120","10","184","801","0"
"25-Oct-2026","83","833","211","155","214","50","15","10","172","801","0"
"26-Oct-2026","75","1018","211","155","235","53","15","10","175","801","0"
"27-Oct-2026","75","953","251","155","246","53","15","10","177","801","0"
"28-Oct-2026","110","934","251","155","260","53","15","10","177","801","0"
"29-Oct-2026","125","1015","260","155","256","53","15","10","177","801","0"
"30-Oct-2026","113","1049","251","155","246","53","15","10","175","801","0"
"31-Oct-2026","75","972","251","155","246","50","15","10","172","801","0"
"01-Nov-2026","68","648","226","155","246","50","16","10","172","801","0"
"02-Nov-2026","60","648","265","155","246","53","15","10","172","801","0"
"03-Nov-2026","61","649","265","116","246","53","15","10","172","801","0"
"04-Nov-2026","60","648","255","0","252","53","15","10","156","817","0"
"05-Nov-2026","60","648","216","0","273","53","15","10","156","817","0"
"06-Nov-2026","60","648","186","0","246","53","15","10","156","817","0"
"07-Nov-2026","60","648","186","0","246","50","15","10","156","817","0"
"08-Nov-2026","60","648","186","0","246","50","15","10","156","817","0"
"09-Nov-2026","60","648","186","0","246","53","15","10","156","817","0"
"10-Nov-2026","60","648","186","0","246","53","15","10","156","817","0"
"11-Nov-2026","60","648","186","0","267","53","15","10","156","817","0"
"12-Nov-2026","60","648","186","0","255","53","15","10","156","817","0"
"13-Nov-2026","60","648","186","0","237","53","15","10","156","817","0"
"14-Nov-2026","60","648","186","132","214","50","15","10","156","817","0"
"15-Nov-2026","68","648","186","395","214","50","15","10","156","817","0"
"16-Nov-2026","68","657","186","395","214","53","15","10","156","817","0"
"17-Nov-2026","68","664","186","395","214","53","15","10","156","817","0"
"18-Nov-2026","161","664","186","395","219","114","15","10","156","817","83"
"19-Nov-2026","167","664","186","395","214","175","15","10","156","817","28"
"20-Nov-2026","167","661","186","395","214","114","15","10","156","817","0"
"21-Nov-2026","167","648","186","395","214","50","15","10","156","817","0"
"22-Nov-2026","167","648","186","395","159","50","15","10","156","817","0"
"23-Nov-2026","167","648","186","395","24","53","15","10","156","817","0"
"24-Nov-2026","133","648","186","395","24","53","15","10","156","817","0"
"25-Nov-2026","66","648","186","395","24","53","15","10","156","817","0"
"26-Nov-2026","66","648","186","395","24","53","15","10","156","817","0"
"27-Nov-2026","66","648","186","395","24","53","15","10","156","817","0"
"28-Nov-2026","66","648","186","313","24","50","15","10","156","817","0"
"29-Nov-2026","66","648","186","0","24","50","15","10","156","817","0"
"30-Nov-2026","66","1034","186","0","24","53","15","10","156","817","0"
"01-Dec-2026","66","648","159","0","23","53","15","10","156","817","0"
"02-Dec-2026","66","648","88","0","19","53","15","10","156","817","0"
"03-Dec-2026","66","648","88","0","19","53","15","10","156","817","0"
"04-Dec-2026","66","648","88","0","19","53","15","10","156","817","0"
"05-Dec-2026","66","648","88","0","49","50","15","10","156","817","0"
"06-Dec-2026","74","643","88","0","19","50","15","10","156","817","0"
"07-Dec-2026","66","643","88","0","19","53","15","10","156","817","0"
"08-Dec-2026","64","643","88","0","19","53","15","10","156","817","0"
